MazeType,Time (ms),Width,Height
Debug-HuntKillMazeGen-165,27.9245,165,165
Debug-HuntKillMazeGen-169,31.9005,169,169
Debug-HuntKillMazeGen-173,46.8666,173,173
Debug-HuntKillMazeGen-177,43.3066,177,177
Debug-HuntKillMazeGen-181,60.0302,181,181
Debug-HuntKillMazeGen-185,35.4296,185,185
Debug-HuntKillMazeGen-189,37.2308,189,189
Debug-HuntKillMazeGen-193,36.5901,193,193
Debug-HuntKillMazeGen-197,49.6117,197,197
Debug-HuntKillMazeGen-201,53.9681,201,201
Debug-HuntKillMazeGen-205,47.6461,205,205
Debug-HuntKillMazeGen-209,52.6116,209,209
Debug-HuntKillMazeGen-213,54.2627,213,213
Debug-HuntKillMazeGen-217,59.6895,217,217
Debug-HuntKillMazeGen-221,69.2851,221,221
Debug-HuntKillMazeGen-225,67.4728,225,225
Debug-HuntKillMazeGen-229,75.5117,229,229
Debug-HuntKillMazeGen-233,74.3405,233,233
Debug-HuntKillMazeGen-237,87.2378,237,237
Debug-HuntKillMazeGen-241,90.1732,241,241
Debug-HuntKillMazeGen-245,101.6824,245,245
Debug-HuntKillMazeGen-249,100.9443,249,249
Debug-HuntKillMazeGen-253,105.8662,253,253
Debug-RecursiveMazeGen-5,2.6347,5,5
Debug-RecursiveMazeGen-9,0.0066,9,9
Debug-RecursiveMazeGen-13,0.0151,13,13
Debug-RecursiveMazeGen-17,0.021,17,17
Debug-RecursiveMazeGen-21,0.0301,21,21
Debug-RecursiveMazeGen-25,0.0491,25,25
Debug-RecursiveMazeGen-29,0.0566,29,29
Debug-RecursiveMazeGen-33,0.0706,33,33
Debug-RecursiveMazeGen-37,0.0874,37,37
Debug-RecursiveMazeGen-41,0.1104,41,41
Debug-RecursiveMazeGen-45,0.1318,45,45
Debug-RecursiveMazeGen-49,0.1583,49,49
Debug-RecursiveMazeGen-53,0.217,53,53
Debug-RecursiveMazeGen-57,0.385,57,57
Debug-RecursiveMazeGen-61,0.4196,61,61
Debug-RecursiveMazeGen-65,0.5547,65,65
Debug-RecursiveMazeGen-69,0.3203,69,69
Debug-RecursiveMazeGen-73,0.3389,73,73
Debug-RecursiveMazeGen-77,0.3848,77,77
Debug-RecursiveMazeGen-81,0.693,81,81
Debug-RecursiveMazeGen-85,0.4602,85,85
Debug-RecursiveMazeGen-89,0.4946,89,89
Debug-RecursiveMazeGen-93,0.5991,93,93
Debug-RecursiveMazeGen-97,0.6618,97,97
Debug-RecursiveMazeGen-101,0.5915,101,101
Debug-RecursiveMazeGen-105,0.695,105,105
Debug-RecursiveMazeGen-109,0.7564,109,109
Debug-RecursiveMazeGen-113,0.7753,113,113
Debug-RecursiveMazeGen-117,0.9068,117,117
Debug-RecursiveMazeGen-121,0.8812,121,121
Debug-RecursiveMazeGen-125,2.3029,125,125
Debug-RecursiveMazeGen-129,0.9749,129,129
Debug-RecursiveMazeGen-133,1.2898,133,133
Debug-RecursiveMazeGen-137,5.241,137,137
Debug-RecursiveMazeGen-141,1.2025,141,141
Debug-RecursiveMazeGen-145,1.4706,145,145
Debug-RecursiveMazeGen-149,1.3642,149,149
Debug-RecursiveMazeGen-153,1.4668,153,153
Debug-RecursiveMazeGen-157,1.4489,157,157
Debug-RecursiveMazeGen-161,1.6332,161,161
Debug-RecursiveMazeGen-165,1.8004,165,165
Debug-RecursiveMazeGen-169,4.9638,169,169
Debug-RecursiveMazeGen-173,8.8441,173,173
Debug-RecursiveMazeGen-177,2.3699,177,177
Debug-RecursiveMazeGen-181,6.9509,181,181
Debug-RecursiveMazeGen-185,2.6791,185,185
Debug-RecursiveMazeGen-189,2.7447,189,189
Debug-RecursiveMazeGen-193,5.8045,193,193
Debug-RecursiveMazeGen-197,2.4655,197,197
Debug-RecursiveMazeGen-201,2.4745,201,201
Debug-RecursiveMazeGen-205,2.7905,205,205
Debug-RecursiveMazeGen-209,6.8291,209,209
Debug-RecursiveMazeGen-213,6.2432,213,213
Debug-RecursiveMazeGen-217,3.0029,217,217
Debug-RecursiveMazeGen-221,6.9229,221,221
Debug-RecursiveMazeGen-225,2.9294,225,225
Debug-RecursiveMazeGen-229,3.1679,229,229
Debug-RecursiveMazeGen-233,3.193,233,233
Debug-RecursiveMazeGen-237,6.715,237,237
Debug-RecursiveMazeGen-241,3.4028,241,241
Debug-RecursiveMazeGen-245,3.6943,245,245
Debug-RecursiveMazeGen-249,3.6221,249,249
Debug-RecursiveMazeGen-253,3.8746,253,253
