MazeType,Time (ms),Width,Height
Release-RecursiveMazeGen-73,0.1717,73,73
Release-HuntKillMazeGen-73,0.2455,73,73
Release-RecursiveMazeGen-75,0.2123,75,75
Release-HuntKillMazeGen-75,0.3122,75,75
Release-RecursiveMazeGen-77,0.1993,77,77
Release-HuntKillMazeGen-77,0.2872,77,77
Release-RecursiveMazeGen-79,0.1913,79,79
Release-HuntKillMazeGen-79,0.3549,79,79
Release-RecursiveMazeGen-81,0.2304,81,81
Release-HuntKillMazeGen-81,0.2827,81,81
Release-RecursiveMazeGen-83,0.1761,83,83
Release-HuntKillMazeGen-83,0.6619,83,83
Release-RecursiveMazeGen-85,0.2,85,85
Release-HuntKillMazeGen-85,0.3489,85,85
Release-RecursiveMazeGen-87,0.2011,87,87
Release-HuntKillMazeGen-87,0.3538,87,87
Release-RecursiveMazeGen-89,0.2134,89,89
Release-HuntKillMazeGen-89,0.4465,89,89
Release-RecursiveMazeGen-91,0.2821,91,91
Release-HuntKillMazeGen-91,0.4239,91,91
Release-RecursiveMazeGen-93,0.2227,93,93
Release-HuntKillMazeGen-93,0.4839,93,93
Release-RecursiveMazeGen-95,0.23,95,95
Release-HuntKillMazeGen-95,0.6142,95,95
Release-RecursiveMazeGen-97,0.2614,97,97
Release-HuntKillMazeGen-97,0.5314,97,97
Release-RecursiveMazeGen-99,0.2658,99,99
Release-HuntKillMazeGen-99,0.5718,99,99
Release-RecursiveMazeGen-101,0.2594,101,101
Release-HuntKillMazeGen-101,0.6155,101,101
Release-RecursiveMazeGen-103,0.3702,103,103
Release-HuntKillMazeGen-103,0.7181,103,103
Release-RecursiveMazeGen-105,0.2825,105,105
Release-HuntKillMazeGen-105,0.6915,105,105
Release-RecursiveMazeGen-107,1.4487,107,107
Release-HuntKillMazeGen-107,0.8372,107,107
Release-RecursiveMazeGen-109,0.3071,109,109
Release-HuntKillMazeGen-109,0.7683,109,109
Release-RecursiveMazeGen-111,0.3093,111,111
Release-HuntKillMazeGen-111,0.9113,111,111
Release-RecursiveMazeGen-113,0.3732,113,113
Release-HuntKillMazeGen-113,1.0181,113,113
Release-RecursiveMazeGen-115,0.3504,115,115
Release-HuntKillMazeGen-115,0.9787,115,115
Release-RecursiveMazeGen-117,0.3599,117,117
Release-HuntKillMazeGen-117,1.0676,117,117
Release-RecursiveMazeGen-119,0.3802,119,119
Release-HuntKillMazeGen-119,1.1118,119,119
Release-RecursiveMazeGen-121,0.3771,121,121
Release-HuntKillMazeGen-121,1.1504,121,121
Release-RecursiveMazeGen-123,0.3982,123,123
Release-HuntKillMazeGen-123,1.7228,123,123
Release-RecursiveMazeGen-125,0.504,125,125
Release-HuntKillMazeGen-125,1.3515,125,125
Release-RecursiveMazeGen-127,0.4143,127,127
Release-HuntKillMazeGen-127,1.4247,127,127
Release-RecursiveMazeGen-129,0.4235,129,129
Release-HuntKillMazeGen-129,1.4664,129,129
Release-RecursiveMazeGen-131,0.4385,131,131
Release-HuntKillMazeGen-131,1.6301,131,131
Release-RecursiveMazeGen-133,0.5405,133,133
Release-HuntKillMazeGen-133,1.7053,133,133
Release-RecursiveMazeGen-135,0.4983,135,135
Release-HuntKillMazeGen-135,1.6435,135,135
Release-RecursiveMazeGen-137,1.894,137,137
Release-HuntKillMazeGen-137,1.8362,137,137
Release-RecursiveMazeGen-139,0.4928,139,139
Release-HuntKillMazeGen-139,2.4371,139,139
Release-RecursiveMazeGen-141,0.5138,141,141
Release-HuntKillMazeGen-141,1.909,141,141
Release-RecursiveMazeGen-143,0.5355,143,143
Release-HuntKillMazeGen-143,2.1081,143,143
Release-RecursiveMazeGen-145,0.6148,145,145
Release-HuntKillMazeGen-145,3.2094,145,145
Release-RecursiveMazeGen-147,0.9136,147,147
Release-HuntKillMazeGen-147,2.3735,147,147
Release-RecursiveMazeGen-149,0.7631,149,149
Release-HuntKillMazeGen-149,2.7383,149,149
Release-RecursiveMazeGen-151,0.6007,151,151
Release-HuntKillMazeGen-151,2.549,151,151
Release-RecursiveMazeGen-153,0.5882,153,153
Release-HuntKillMazeGen-153,2.5362,153,153
Release-RecursiveMazeGen-155,0.6512,155,155
Release-HuntKillMazeGen-155,2.7645,155,155
Release-RecursiveMazeGen-157,2.6556,157,157
Release-HuntKillMazeGen-157,3.1591,157,157
Release-RecursiveMazeGen-159,0.6707,159,159
Release-HuntKillMazeGen-159,3.7243,159,159
Release-RecursiveMazeGen-161,0.6603,161,161
Release-HuntKillMazeGen-161,3.3906,161,161
Release-RecursiveMazeGen-163,0.6804,163,163
Release-HuntKillMazeGen-163,4.4746,163,163
Release-RecursiveMazeGen-165,0.6966,165,165
Release-HuntKillMazeGen-165,3.7413,165,165
Release-RecursiveMazeGen-167,0.7431,167,167
Release-HuntKillMazeGen-167,4.1624,167,167
Release-RecursiveMazeGen-169,0.7672,169,169
Release-HuntKillMazeGen-169,4.1308,169,169
Release-RecursiveMazeGen-171,0.7243,171,171
Release-HuntKillMazeGen-171,4.068,171,171
Release-RecursiveMazeGen-173,0.7531,173,173
Release-HuntKillMazeGen-173,4.2489,173,173
Release-RecursiveMazeGen-175,0.7685,175,175
Release-HuntKillMazeGen-175,4.4044,175,175
Release-RecursiveMazeGen-177,0.759,177,177
Release-HuntKillMazeGen-177,5.328,177,177
Release-RecursiveMazeGen-179,0.7982,179,179
Release-HuntKillMazeGen-179,4.9406,179,179
Release-RecursiveMazeGen-181,0.7949,181,181
Release-HuntKillMazeGen-181,6.0594,181,181
Release-RecursiveMazeGen-183,0.8382,183,183
Release-HuntKillMazeGen-183,5.1373,183,183
Release-RecursiveMazeGen-185,0.8619,185,185
Release-HuntKillMazeGen-185,6.1749,185,185
Release-RecursiveMazeGen-187,0.8782,187,187
Release-HuntKillMazeGen-187,5.4606,187,187
Release-RecursiveMazeGen-189,0.9644,189,189
Release-HuntKillMazeGen-189,6.1238,189,189
Release-RecursiveMazeGen-191,3.2553,191,191
Release-HuntKillMazeGen-191,6.4465,191,191
Release-RecursiveMazeGen-193,0.9108,193,193
Release-HuntKillMazeGen-193,6.352,193,193
Release-RecursiveMazeGen-195,0.9695,195,195
Release-HuntKillMazeGen-195,7.2773,195,195
Release-RecursiveMazeGen-197,3.5404,197,197
Release-HuntKillMazeGen-197,7.1455,197,197
Release-RecursiveMazeGen-199,0.9727,199,199
Release-HuntKillMazeGen-199,7.1673,199,199
Release-RecursiveMazeGen-201,1.1365,201,201
Release-HuntKillMazeGen-201,7.5414,201,201
Release-RecursiveMazeGen-203,1.037,203,203
Release-HuntKillMazeGen-203,9.0957,203,203
Release-RecursiveMazeGen-205,1.02,205,205
Release-HuntKillMazeGen-205,8.7676,205,205
Release-RecursiveMazeGen-207,1.1735,207,207
Release-HuntKillMazeGen-207,8.0173,207,207
Release-RecursiveMazeGen-209,1.0521,209,209
Release-HuntKillMazeGen-209,8.8181,209,209
Release-RecursiveMazeGen-211,1.2508,211,211
Release-HuntKillMazeGen-211,8.9969,211,211
Release-RecursiveMazeGen-213,1.3745,213,213
Release-HuntKillMazeGen-213,9.0304,213,213
Release-RecursiveMazeGen-215,1.2013,215,215
Release-HuntKillMazeGen-215,9.443,215,215
Release-RecursiveMazeGen-217,3.867,217,217
Release-HuntKillMazeGen-217,10.1332,217,217
Release-RecursiveMazeGen-219,1.2145,219,219
Release-HuntKillMazeGen-219,12.918,219,219
Release-RecursiveMazeGen-221,1.1855,221,221
Release-HuntKillMazeGen-221,11.8735,221,221
Release-RecursiveMazeGen-223,1.2425,223,223
Release-HuntKillMazeGen-223,11.3192,223,223
Release-RecursiveMazeGen-225,1.2213,225,225
Release-HuntKillMazeGen-225,11.3035,225,225
Release-RecursiveMazeGen-227,1.2586,227,227
Release-HuntKillMazeGen-227,12.3913,227,227
Release-RecursiveMazeGen-229,1.4733,229,229
Release-HuntKillMazeGen-229,11.526,229,229
Release-RecursiveMazeGen-231,1.5378,231,231
Release-HuntKillMazeGen-231,13.0824,231,231
Release-RecursiveMazeGen-233,1.3333,233,233
Release-HuntKillMazeGen-233,14.0459,233,233
Release-RecursiveMazeGen-235,1.3627,235,235
Release-HuntKillMazeGen-235,13.1596,235,235
Release-RecursiveMazeGen-237,1.4092,237,237
Release-HuntKillMazeGen-237,13.7196,237,237
Release-RecursiveMazeGen-239,4.3683,239,239
Release-HuntKillMazeGen-239,14.1244,239,239
Release-RecursiveMazeGen-241,1.4196,241,241
Release-HuntKillMazeGen-241,14.657,241,241
Release-RecursiveMazeGen-243,1.5307,243,243
Release-HuntKillMazeGen-243,15.7757,243,243
Release-RecursiveMazeGen-245,1.5113,245,245
Release-HuntKillMazeGen-245,15.3409,245,245
Release-RecursiveMazeGen-247,1.4891,247,247
Release-HuntKillMazeGen-247,16.0669,247,247
Release-RecursiveMazeGen-249,1.5248,249,249
Release-HuntKillMazeGen-249,16.515,249,249
Release-RecursiveMazeGen-251,5.2497,251,251
Release-HuntKillMazeGen-251,16.2914,251,251
Release-RecursiveMazeGen-253,1.6904,253,253
Release-HuntKillMazeGen-253,18.4238,253,253
Release-RecursiveMazeGen-255,1.6177,255,255
Release-HuntKillMazeGen-255,17.5528,255,255
